Product name in Flipkart,Retail Price in Flipkart,Discounted Price in Flipkart,Product name in Amazon,Retail Price in Amazon,Discounted Price in Amazon
ALISHA SOLID WOMEN'S CYCLING SHORTS,999.0,379.0,ALISHA SOLID WOMEN'S CYCLING SHORTS,982,438
FABHOMEDECOR FABRIC DOUBLE SOFA BED,32157.0,22646.0,FABHOMEDECOR FABRIC DOUBLE SOFA BED,32143,29121
AW BELLIES,999.0,499.0,AW BELLIES,991,551
ALISHA SOLID WOMEN'S CYCLING SHORTS,699.0,267.0,ALISHA SOLID WOMEN'S CYCLING SHORTS,694,325
SICONS ALL PURPOSE ARNICA DOG SHAMPOO,220.0,210.0,SICONS ALL PURPOSE ARNICA DOG SHAMPOO,208,258
ETERNAL GANDHI SUPER SERIES CRYSTAL PAPER WEIGHTS  WITH SILVER FINISH,430.0,430.0,ETERNAL GANDHI SUPER SERIES CRYSTAL PAPER WEIGHTS  WITH SILVER FINISH,427,473
ALISHA SOLID WOMEN'S CYCLING SHORTS,1199.0,479.0,ALISHA SOLID WOMEN'S CYCLING SHORTS,1198,602
FABHOMEDECOR FABRIC DOUBLE SOFA BED,32157.0,22646.0,FABHOMEDECOR FABRIC DOUBLE SOFA BED,32137,28664
"DILLI BAZAAAR BELLIES, CORPORATE CASUALS, CASUALS",699.0,349.0,"DILLI BAZAAAR BELLIES, CORPORATE CASUALS, CASUALS",682,385
ALISHA SOLID WOMEN'S CYCLING SHORTS,1199.0,479.0,ALISHA SOLID WOMEN'S CYCLING SHORTS,1197,542
LADELA BELLIES,1724.0,950.0,LADELA BELLIES,1705,1119
CARREL PRINTED WOMEN'S,2299.0,910.0,CARREL PRINTED WOMEN'S,2281,1080
SICONS ALL PURPOSE TEA TREE DOG SHAMPOO,0.0,0.0,SICONS ALL PURPOSE TEA TREE DOG SHAMPOO,-11,0
ALISHA SOLID WOMEN'S CYCLING SHORTS,999.0,379.0,ALISHA SOLID WOMEN'S CYCLING SHORTS,990,479
FREELANCE VACUUM BOTTLES 350 ML BOTTLE,699.0,699.0,FREELANCE VACUUM BOTTLES 350 ML BOTTLE,690,822
ALISHA SOLID WOMEN'S CYCLING SHORTS,999.0,379.0,ALISHA SOLID WOMEN'S CYCLING SHORTS,995,434
FABHOMEDECOR FABRIC DOUBLE SOFA BED,32157.0,22646.0,FABHOMEDECOR FABRIC DOUBLE SOFA BED,32150,28650
STYLE FOOT BELLIES,899.0,449.0,STYLE FOOT BELLIES,894,514
CARREL PRINTED WOMEN'S,2499.0,999.0,CARREL PRINTED WOMEN'S,2482,1156
FABHOMEDECOR FABRIC DOUBLE SOFA BED,32157.0,22646.0,FABHOMEDECOR FABRIC DOUBLE SOFA BED,32144,26423
SICONS CONDITIONING CONDITONER DOG SHAMPOO,110.0,100.0,SICONS CONDITIONING CONDITONER DOG SHAMPOO,97,119
ALISHA SOLID WOMEN'S CYCLING SHORTS,0.0,0.0,ALISHA SOLID WOMEN'S CYCLING SHORTS,-2,0
DONGLI PRINTED BOY'S ROUND NECK T-SHIRT,2400.0,1039.0,DONGLI PRINTED BOY'S ROUND NECK T-SHIRT,2382,1254
SWAGGA WOMEN CLOGS,1500.0,1500.0,SWAGGA WOMEN CLOGS,1490,1821
KENNEL RUBBER DUMBELL WITH BELL - SMALL RUBBER RUBBER TOY FOR DOG,190.0,190.0,KENNEL RUBBER DUMBELL WITH BELL - SMALL RUBBER RUBBER TOY FOR DOG,185,209
GLUS WEDDING LINGERIE SET,1299.0,699.0,GLUS WEDDING LINGERIE SET,1295,869
VEELYS SHINY WHITE QUAD ROLLER SKATES - SIZE 4.5 UK,3199.0,2499.0,VEELYS SHINY WHITE QUAD ROLLER SKATES - SIZE 4.5 UK,3193,2835
BULAKY VANITY CASE JEWELLERY VANITY CASE,499.0,390.0,BULAKY VANITY CASE JEWELLERY VANITY CASE,488,490
FDT WOMEN'S LEGGINGS,699.0,309.0,FDT WOMEN'S LEGGINGS PANTS,698,362
MADCAPS C38GR30 MEN'S CARGOS,2199.0,1699.0,MADCAPS C38GR30 MEN'S CARGOS,2183,2100
BENGAL BLOOMS ROSE ARTIFICIAL PLANT  WITH POT,799.0,579.0,BENGAL BLOOMS ROSE ARTIFICIAL PLANT  WITH POT,783,710
INDCROWN NET EMBROIDERED SEMI-STITCHED LEHENGA CHOLI MATERIAL,999.0,699.0,INDCROWN NET EMBROIDERED SEMI-STITCHED LEHENGA CHOLI MATERIAL,994,854
SHOPMANIA MUSIC BAND A5 NOTEBOOK SPIRAL BOUND,499.0,275.0,SHOPMANIA MUSIC BAND A5 NOTEBOOK SPIRAL BOUND,483,347
SHOPMANIA MUSIC BAND A5 NOTEBOOK SPIRAL BOUND,499.0,275.0,SHOPMANIA MUSIC BAND A5 NOTEBOOK SPIRAL BOUND,487,330
"TIARA DIARIES 2016-2017 DESIGNER LA KAARTA ""TAKING ACTION GETTING RESULT"" (SET OF 3) B5 NOTEBOOK HARD BOUND",1000.0,837.0,"TIARA DIARIES 2016-2017 DESIGNER LA KAARTA ""TAKING ACTION GETTING RESULT"" (SET OF 3) B5 NOTEBOOK HARD BOUND",993,1019
KAJCI EMBROIDERED WOMEN'S WAISTCOAT,1200.0,699.0,KAJCI EMBROIDERED WOMEN'S WAISTCOAT,1183,822
PACKMAN 8 X 10 INCHES SECURITY BAGS WITHOUT POD JACKET COURIER BAG SECURITY BAG,350.0,298.0,PACKMAN 8 X 10 INCHES SECURITY BAGS WITHOUT POD JACKET COURIER BAG SECURITY BAG,347,343
PICK POCKET EMBROIDERED WOMEN'S WAISTCOAT,899.0,899.0,PICK POCKET EMBROIDERED WOMEN'S WAISTCOAT,886,1167
ANGELFISH SILK POTALI POTLI,999.0,399.0,ANGELFISH SILK POTALI POTLI,983,482
OYE BOY'S DUNGAREE,899.0,764.0,OYE BOY'S DUNGAREE,893,985
NURIDE CANVAS SHOES,1999.0,1349.0,NURIDE CANVAS SHOES,1990,1625
OM SHIVAKRITI SQUARE WALL CLOCK SHOWPIECE  -  38.1 CM,1499.0,1499.0,OM SHIVAKRITI SQUARE WALL CLOCK SHOWPIECE  -  38.1 CM,1480,1786
HIMMLISCH ST381 MAGNETIC SUN SHADE FOR MARUTI ALTO,6999.0,1899.0,HIMMLISCH ST381 MAGNETIC SUN SHADE FOR MARUTI ALTO,6990,2313
RAPTER BNC-179 BNC WIRE CONNECTOR,2299.0,1400.0,RAPTER BNC-179 BNC WIRE CONNECTOR,2279,1582
VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,999.0,499.0,VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,987,562
VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,899.0,449.0,VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,892,556
VISHUDH PRINTED WOMEN'S ANARKALI KURTA,2099.0,1049.0,VISHUDH PRINTED WOMEN'S ANARKALI KURTA,2089,1161
BUILDTRACK PIR WIRELESS MOTION SENSOR - ONE SWITCH CONTROL WIRELESS SENSOR SECURITY SYSTEM,6500.0,5000.0,BUILDTRACK PIR WIRELESS MOTION SENSOR - ONE SWITCH CONTROL WIRELESS SENSOR SECURITY SYSTEM,6482,6153
SKAYVON SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER WIRED SENSOR SECURITY SYSTEM,9990.0,4990.0,SKAYVON SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER WIRED SENSOR SECURITY SYSTEM,9972,6022
MASARA SOLID WOMEN'S STRAIGHT KURTA,1399.0,599.0,MASARA SOLID WOMEN'S STRAIGHT KURTA,1396,686
VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,899.0,449.0,VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,887,544
RAPTER BNC-047 BNC WIRE CONNECTOR,1299.0,899.0,RAPTER BNC-047 BNC WIRE CONNECTOR,1288,1023
SKAYVON SUBMERSIBBLE THREE PHASE PUMP CONTROLLER WIRED SENSOR SECURITY SYSTEM,8999.0,4990.0,SKAYVON SUBMERSIBBLE THREE PHASE PUMP CONTROLLER WIRED SENSOR SECURITY SYSTEM,8979,5877
VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,899.0,449.0,VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,888,554
BEHRINGER XENYX 502 ANALOG SOUND MIXER,10000.0,6600.0,BEHRINGER XENYX 502 ANALOG SOUND MIXER,9984,7854
VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,899.0,449.0,VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,879,512
VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,899.0,449.0,VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,879,534
MASARA SOLID WOMEN'S STRAIGHT KURTA,1399.0,599.0,MASARA SOLID WOMEN'S STRAIGHT KURTA,1382,711
MASARA SOLID WOMEN'S STRAIGHT KURTA,1399.0,550.0,MASARA SOLID WOMEN'S STRAIGHT KURTA,1382,694
ROADSTER MEN'S ZIPPER SOLID CARDIGAN,1399.0,699.0,ROADSTER MEN'S ZIPPER SOLID CARDIGAN,1380,887
VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,999.0,499.0,VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,995,638
NOOR EMBROIDERED WOMEN'S STRAIGHT KURTA,1649.0,849.0,NOOR EMBROIDERED WOMEN'S STRAIGHT KURTA,1639,1041
MASARA SOLID WOMEN'S STRAIGHT KURTA,1399.0,599.0,MASARA SOLID WOMEN'S STRAIGHT KURTA,1388,660
VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,899.0,449.0,VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,888,562
LIBAS PRINTED WOMEN'S A-LINE KURTA,899.0,449.0,LIBAS PRINTED WOMEN'S A-LINE KURTA,887,570
LIBAS PRINTED WOMEN'S ANARKALI KURTA,1849.0,924.0,LIBAS PRINTED WOMEN'S ANARKALI KURTA,1831,1142
MASARA SOLID WOMEN'S STRAIGHT KURTA,999.0,499.0,MASARA SOLID WOMEN'S STRAIGHT KURTA,981,647
HRS ULTIMATE BOY CHEST PADS,440.0,395.0,HRS ULTIMATE BOY CHEST PADS,427,491
VERMELLO MEN CASUAL BROWN GENUINE LEATHER BELT,1495.0,795.0,VERMELLO MEN CASUAL BROWN GENUINE LEATHER BELT,1488,918
HRS CLUB BOY THIGH PADS,280.0,250.0,HRS CLUB BOY THIGH PADS,273,298
LIGANS NY MEN FORMAL BLACK GENUINE LEATHER BELT,795.0,695.0,LIGANS NY MEN FORMAL BLACK GENUINE LEATHER BELT,794,868
ELEGANCE POLYESTER MULTICOLOR ABSTRACT EYELET DOOR CURTAIN,1899.0,899.0,ELEGANCE POLYESTER MULTICOLOR ABSTRACT EYELET DOOR CURTAIN,1898,1145
LIZA WOMEN WEDGES,1990.0,1393.0,LIZA WOMEN WEDGES,1986,1707
HRS ULTIMATE BOY ELBOW PADS,250.0,230.0,HRS ULTIMATE BOY ELBOW PADS,236,279
SATHIYAS COTTON BATH TOWEL,600.0,449.0,SATHIYAS COTTON BATH TOWEL,582,568
HRS ULTIMATE MEN CHEST PADS,440.0,395.0,HRS ULTIMATE MEN CHEST PADS,435,474
EUROSPA COTTON TERRY FACE TOWEL SET,0.0,0.0,EUROSPA COTTON TERRY FACE TOWEL SET,-15,0
SANTOSH ROYAL FASHION COTTON PRINTED KING SIZED DOUBLE BEDSHEET,2699.0,1299.0,SANTOSH ROYAL FASHION COTTON PRINTED KING SIZED DOUBLE BEDSHEET,2695,1570
CASEDEAL MICROSOFT NOKIA LUMIA X2 BACK PANEL,1999.0,380.0,CASEDEAL MICROSOFT NOKIA LUMIA X2 BACK PANEL,1989,472
MARIO GOTZE WOMEN'S PRINTED CASUAL ORANGE SHIRT,1499.0,899.0,MARIO GOTZE WOMEN'S PRINTED CASUAL ORANGE SHIRT,1486,1162
JAIPUR PRINT COTTON FLORAL KING SIZED DOUBLE BEDSHEET,2599.0,698.0,JAIPUR PRINT COTTON FLORAL KING SIZED DOUBLE BEDSHEET,2595,864
SHILPI NHSCN003 COIN BANK,900.0,650.0,SHILPI NHSCN003 COIN BANK,880,787
JAIPUR PRINT COTTON FLORAL KING SIZED DOUBLE BEDSHEET,2599.0,698.0,JAIPUR PRINT COTTON FLORAL KING SIZED DOUBLE BEDSHEET,2589,806
BABEEZWORLD DUNGAREE BABY BOY'S  COMBO,999.0,499.0,BABEEZWORLD DUNGAREE BABY BOY'S  COMBO,997,565
REDBAG EIGHT ARMED GODDESS SHERAWALI MAA SHOWPIECE  -  10.8 CM,1600.0,1200.0,REDBAG EIGHT ARMED GODDESS SHERAWALI MAA SHOWPIECE  -  10.8 CM,1590,1487
"PROENCE WEIGHT GAINERS, MASS GAINERS",1025.0,949.0,"PROENCE WEIGHT GAINERS, MASS GAINERS",1010,1107
DISCOUNTGOD MEN'S CHECKERED CASUAL SHIRT,750.0,590.0,DISCOUNTGOD MEN'S CHECKERED CASUAL SHIRT,732,662
SILVER STREAK MEN'S PRINTED CASUAL DENIM SHIRT,1299.0,599.0,SILVER STREAK MEN'S PRINTED CASUAL DENIM SHIRT,1298,713
"COBRA PARIS CO6394A1 ANALOG WATCH  - FOR MEN, BOYS",18995.0,15195.0,"COBRA PARIS CO6394A1 ANALOG WATCH  - FOR MEN, BOYS",18981,16829
TEN TEN WOMEN'S BLACK KNEE LENGTH BOOTS BOOTS,4995.0,1995.0,TEN TEN WOMEN'S BLACK KNEE LENGTH BOOTS BOOTS,4986,2581
"ARIES GOLD G 729 S-BK ANALOG WATCH  - FOR MEN, BOYS",13699.0,13099.0,"ARIES GOLD G 729 S-BK ANALOG WATCH  - FOR MEN, BOYS",13682,16407
CARLTON BOOTS,3495.0,1223.0,CARLTON BOOTS,3484,1379
MASERATI TIME R8851116001 ANALOG WATCH  - FOR BOYS,24400.0,24400.0,MASERATI TIME R8851116001 ANALOG WATCH  - FOR BOYS,24393,30971
"VIZION 8503B-1RED COLD LIGHT DIGITAL WATCH  - FOR BOYS, GIRLS",1095.0,595.0,"VIZION 8503B-1RED COLD LIGHT DIGITAL WATCH  - FOR BOYS, GIRLS",1087,769
"CAMERII WM64 ELEGANCE ANALOG WATCH  - FOR MEN, BOYS",1099.0,449.0,"CAMERII WM64 ELEGANCE ANALOG WATCH  - FOR MEN, BOYS",1088,561
RECKLER SLIM FIT MEN'S JEANS,5398.0,2599.0,RECKLER SLIM FIT MEN'S JEANS,5383,3179
QUECHUA ARPENAZ NOVADRY BOOTS,2499.0,2250.0,QUECHUA ARPENAZ NOVADRY BOOTS,2481,2748
"COLAT COLAT_MW20 SHEEN ANALOG WATCH  - FOR MEN, WOMEN, BOYS, GIRLS",3999.0,849.0,"COLAT COLAT_MW20 SHEEN ANALOG WATCH  - FOR MEN, WOMEN, BOYS, GIRLS",3990,983
STEPPINGS TRENDY BOOTS,1799.0,719.0,STEPPINGS TRENDY BOOTS,1791,844
ROCHEES RW38 ANALOG WATCH  - FOR BOYS,1415.0,1202.0,ROCHEES RW38 ANALOG WATCH  - FOR BOYS,1414,1357
"RORLIG RR-028 EXPEDITION ANALOG WATCH  - FOR MEN, BOYS",1099.0,399.0,"RORLIG RR-028 EXPEDITION ANALOG WATCH  - FOR MEN, BOYS",1084,468
CATWALK BOOTS,2095.0,999.0,CATWALK BOOTS,2086,1283
MAGNUM FOOTWEAR LIFESTYLE,3999.0,2099.0,MAGNUM FOOTWEAR LIFESTYLE,3982,2586
T STAR UFT-TSW-005-BK-BR ANALOG WATCH  - FOR BOYS,999.0,399.0,T STAR UFT-TSW-005-BK-BR ANALOG WATCH  - FOR BOYS,990,469
RIALTO BOOTS,3295.0,2795.0,RIALTO BOOTS,3275,3331
KIELZ LADIES BOOTS,2499.0,1249.0,KIELZ LADIES BOOTS,2481,1583
"ALFAJR WY16B YOUTH DIGITAL WATCH  - FOR MEN, BOYS",5495.0,4995.0,"ALFAJR WY16B YOUTH DIGITAL WATCH  - FOR MEN, BOYS",5476,5916
LA BRIZA ASHLEY BOOTS,2299.0,2299.0,LA BRIZA ASHLEY BOOTS,2296,2840
"TAG HEUER CAU1116.BA0858 FORMULA 1 ANALOG WATCH  - FOR BOYS, MEN",107750.0,107750.0,"TAG HEUER CAU1116.BA0858 FORMULA 1 ANALOG WATCH  - FOR BOYS, MEN",107737,137323
SALT N PEPPER 13-019 FEMME BLACK BOOTS BOOTS,4195.0,3146.0,SALT N PEPPER 13-019 FEMME BLACK BOOTS BOOTS,4176,3857
SHUZ TOUCH BOOTS,1499.0,1270.0,SHUZ TOUCH BOOTS,1497,1651
WRANGLER SKANDERS FIT MEN'S JEANS,2795.0,1817.0,WRANGLER SKANDERS FIT MEN'S JEANS,2785,2254
STEPPINGS TRENDY BOOTS,3199.0,1919.0,STEPPINGS TRENDY BOOTS,3191,2295
SALT N PEPPER 14-664 DENNY BLACK BOOTS BOOTS,4295.0,3221.0,SALT N PEPPER 14-664 DENNY BLACK BOOTS BOOTS,4283,3869
"COSTA SWISS CS-2001 ANALOG WATCH  - FOR BOYS, MEN",1199.0,429.0,"COSTA SWISS CS-2001 ANALOG WATCH  - FOR BOYS, MEN",1189,513
CROCS BOOTS,3995.0,3995.0,CROCS BOOTS,3977,4845
"BREITLING AB011010/BB08 131S CHRONOMAT 44 ANALOG WATCH  - FOR BOYS, MEN",571230.0,571230.0,"BREITLING AB011010/BB08 131S CHRONOMAT 44 ANALOG WATCH  - FOR BOYS, MEN",571223,726879
LYC WHITE CASUAL BOOTS,1199.0,899.0,LYC WHITE CASUAL BOOTS,1195,1025
MYRA COMFORTABLE BOOTS,1049.0,499.0,MYRA COMFORTABLE BOOTS,1038,573
"CALIBRO SW-125 ANALOG-DIGITAL WATCH  - FOR MEN, BOYS",2000.0,699.0,"CALIBRO SW-125 ANALOG-DIGITAL WATCH  - FOR MEN, BOYS",1991,896
GET GLAMR DESIGNER UGGY BOOTS,3499.0,2799.0,GET GLAMR DESIGNER UGGY BOOTS,3487,3180
KIELZ LADIES BOOTS,2299.0,899.0,KIELZ LADIES BOOTS,2295,1019
KIELZ LADIES BOOTS,1999.0,999.0,KIELZ LADIES BOOTS,1996,1187
ROCHEES RW50 ANALOG WATCH  - FOR BOYS,1120.0,952.0,ROCHEES RW50 ANALOG WATCH  - FOR BOYS,1110,1225
KIELZ LADIES BOOTS,2799.0,1299.0,KIELZ LADIES BOOTS,2780,1529
SALT N PEPPER 13-516 GRETA RED BOOTS,3495.0,2621.0,SALT N PEPPER 13-516 GRETA RED BOOTS,3475,3380
FLUID DMF-002-GR01 DIGITAL WATCH  - FOR BOYS,1699.0,849.0,FLUID DMF-002-GR01 DIGITAL WATCH  - FOR BOYS,1682,1026
STEPPINGS TRENDY BOOTS,1599.0,639.0,STEPPINGS TRENDY BOOTS,1587,825
RIALTO BOOTS,3295.0,2395.0,RIALTO BOOTS,3292,2738
"RORLIG RR-030 ESSENTIALS ANALOG WATCH  - FOR MEN, BOYS",1099.0,399.0,"RORLIG RR-030 ESSENTIALS ANALOG WATCH  - FOR MEN, BOYS",1085,472
WRANGLER REGULAR FIT MEN'S JEANS,3295.0,1812.0,WRANGLER REGULAR FIT MEN'S JEANS,3279,2305
STEPPINGS TRENDY BOOTS,3499.0,2274.0,STEPPINGS TRENDY BOOTS,3492,2874
